book_title,review_content,rating
그림 그리고 싶은 날,"계속, 쭉, 내내, 쌓아 나가기 세상살이에 만만한 것이 없다는 것을 알만한 나이다. 무엇하나 똑 부러지게 해내는 것이 없고 마음먹고 시작한 일도 시간이 지나면서 흐지부지되고 만다. 살아온 날이 이런 것의 연속이 아니었나 생각된다. 이런 생각은 나뿐만 아니라 많은 사람들이 일상 속에서 경험한 일이 아닐까 싶다. 그래서 바쁜 일상에서도 자신의 관심사를 지속적으로 해 나가는 사람들을 볼 때 많은 사람들이 부러워한다. 그런 사람들을 보면서 부러워만 할 수 없는 일이 아닌가? 남들과 같아도 좋고 다르다고 해도 굳이 흠 될 것이...+ 더보기",4
그림 그리고 싶은 날,﻿어릴적 내 꿈은 화가였다.그런데 그 꿈은 6학년때 좌절되고 말았다.물론 지금 생각해보면 그림을 잘 그렸던 건 아니다.다만 그림을 그리는 것이 행복했다 .그런데 세월이 흐른 지금 6학년인 내 딸아이가 그 때의 나처럼 그림 그리기를 즐긴다.내게 그림을 보는 안목은 없지만 내가 보기엔 잘 그린다.아이는 친구들과 어울려 놀 때는 그림을 그리지 않고 주로 혼자 조용히 있을 때 그림을 그린다. 문제는 아이가 미술 학원을 다니며 배우는 것을 지루해 한다는데 있다.그래서 어쩔수 없이 나...+ 더보기,5
그림 그리고 싶은 날,해당 서평은 출판사에서 제공받은 도서를 읽고 작성되었습니다. 그림이 그리고 싶은 날이 정말 있다. 최근에는 그런 날들이 더욱 많아지고 있다. 지금 눈 앞에 보이는 풍경이라면 그림 외에도 사진을 찍는다는 선택사항이 존재한다. 하지만 만약 그리고 싶은 게 현재 존재하지 않는 무언가라면 사진으로는 곤란하다. 그럴 때는 정말이지 그림을 잘 그린다면 얼마나 좋을까 생각한다. 그리고 두리번거리기 시작한다. 어디에서 배워야 하는 것일까 하고 말이다. 미술학원이 빼곡하게 들어서있는 길을 지나칠 때마다 흘끔흘끔 살...+ 더보기,4
나 혼자 연필 드로잉,"여행을 다니면서 멋진 사진을 촬영하고, 블로그에 올리시는 분들이 참 부러웠던 적도 있지만, 어릴 때 부터 지금까지 변함없이 부러운 사람들은 여행지에서 카메라가 아닌 조그만 수첩이나 혹은 스케치북을 꺼내들고 빠르게 크로키를 하는 사람이다. 카메라가 사실적으로 담아내는 데 초점을 맞춘다면 그림이야말로 세상에 단 하나뿐인 그 순간을 바라보는 내 감정을 그대로 담아낼 수 있어 매력적이기 때문이다. 학교를 졸업하고 처음 그림을 배우기 시작했을 때 무조건 매일 그리면 된다고 알려주었다. 틀린말은 아니지만 무조건 그리기만 해서는 안된...+ 더보기",5
나 혼자 연필 드로잉,"어릴적 미술을 배우고 싶었던 저는 형편상 미술학원의 문앞에도 가 보지 못한 관계로 어른이 된 지금도 늘마음 한편에서는 미술에 관해 미련이 남아있습니다.가끔 드로잉 관련 책을 보면서 혼자서 독학을 해 보려 하지만 데생이나 드로잉, 수채화 그리기 등 꼭 배워보고 싶은 분야는 혼자서는 잘 되지 않더라구요,,그래서 이책 [ 나 혼자 연필 드로잉 ]을 보았을 때 이 책 한번 보고 싶다~~라는 마음과 정말 나 혼자 연필드로잉을 배워 볼 수 있을까? 하는 생각이 들더라구요..결과적으로 말하자면 제가 그동안 보았던 몇권의 연...+ 더보기",5
나 혼자 연필 드로잉,"어린시절 미술학원을 다녔었다. 그때는 엄마가 다니라고하니까 멋모르고 다녔었는데 지나보니 색칠공부도 재밋어하고지금은 컬러링북에, 스티커아트북,점잇기, 스크래치북 등등 미술에 관련된 것을 즐기고 있는 나를 발견한다.이 책은 아주 기본적인 지식인 그리기 도구 소개부터곡선,자유로운 선,원 그리기 등 그림그리기 전의 워밍업 단계, 그림에 자신감이 샘솟게하는 형태잡아서그리는 파트, 고난이도의 풍경그리는 파트 등으로나뉘어져 있다.나는 특히 아무리 복잡한 사물이라도 그림그릴때형태가 나타난다는 지식을 새롭게 알게되어 좋았다.본격적으로 그린 그림은...+ 더보기",4
나 혼자 연필 드로잉,안녕하세요!벌써 봄이네요이젠 따뜻하다못해 덥기까지 하네요ㅜㅜ저는 취미로 컬러링을 하고 있어요컬러링을 하다보니미술에 관심이 많아지네요!그래서 오늘 소개해드릴 책은나 혼자 연필드로잉입니다 혼자서도 연필드로잉을 할수있을까요?걱정반 기대반으로 책을 살펴볼게요! 연핑크로 저의 마음을 마구 흔들어줍니다완전 취향저격 표지입니다^^ 사실 이 부분은 생략할수도 있지만컬러링계의 시조새격인이일선. 조혜림 작가님의 책이라하니 반갑더라구요!그냥 지나칠수 없지요ㅎㅎㅎ 그리고 더 믿음이 가더라구요!작가님의 가...+ 더보기,5
나 혼자 연필 드로잉,"누구나 내가 그리고 싶은 걸 자유롭게 그려보고 싶다는 생각 한번씩 하지 않나요?저걸 그려보고 싶은데 내손이 내맘대로 안 움직여서...정체모를 그림이 되곤 하죠...그래서 범인들은 배움이 필요하고 연습이 필요한거 같아요이 책은 4B연필과 지우개만 있으면 그림 그리는 것을 시작할 수 있습니다 책에 그림을 연습하는 공간이 있어서 별도의 노트도 필요하지 않습니다그외에 있으면 편리한 재료들은 지우개가루 털이용 비가 있고 보조재료로는 칼, 정착제가 있습니다기초부터 시작할 수 있는데요다양한 선긋기 지우개표현이 있습니다굳어있는 손을 풀어서 수월하...+ 더보기",5
알고 보면 더 재밌는 디자인 원리로 그림 읽기,"책을 펼쳐 보면 이 책을 어떻게 활용해야 하는지 바로 알게 됩니다.이렇게 섬세한 책이 이제서야 나왔다는 게 신기할 정도예요^^정적인 그림과 동적인 그림의 차이는 어디에서 기인하는지, 꽃을 바라보려 하고 있지만 어째서 다른 걸 쳐다 보게 되는지...음영과 색은 왜 중요한지 등등^^",5
알고 보면 더 재밌는 디자인 원리로 그림 읽기,그림 입문서로도 딱!,5
알고 보면 더 재밌는 디자인 원리로 그림 읽기,재밌게 잘 읽었습니다. 실려있는 그림들의 제목이나 작가명이 안 적혀있어서 아쉬웠습니다.,5
알고 보면 더 재밌는 디자인 원리로 그림 읽기,이책 재미있고 볼만 해요.명화에서 디자인 원리를 찾아 볼수 있는 재미가 있네요,5
알고 보면 더 재밌는 디자인 원리로 그림 읽기,그림이나 디자인에 관심이 많지만 쉽게 지나칠 수 있는 부분을 다시 잡아주는 책이어서 좋았어요! 이 책으로 그림 보는 시야를 좀 더 넓힐 수 있을 거 같아요!!,5
알고 보면 더 재밌는 디자인 원리로 그림 읽기,"오늘 리뷰할 책은 오랜만에 정말 읽을만하고 좋은 책인 입니다.책 중에 가장 좋은 책은 와 을 동일 저자가 써서둘 사이가 아주 유기적으로 결합된 형태인데, 이 책이 바로 그런 책입니다.저자가 피땀흘려 만든 책이라는 느낌을 펴자 마자 아실 수 있습니다.위인이 되는 코스인 를 시도하신 위인이라고 보시면 됩니다.국민대학교와 AAU 나오신 엘리트입니다.책 내에 있는 이미지들이 상당히 현대적이고 이해하기 쉬운데이는 저자의...+ 더보기",5
알고 보면 더 재밌는 디자인 원리로 그림 읽기,"여러 해에 걸쳐서 전시회를 다니면서 많은 미술작품들을 보게 됐다. 처음에는 유명 화가의 작품들이 꽉 찬 미술관에서 경이로움에 마음이 설레이기도 했다. 국내에서 열리는 전시회를 갈 때는 도슨트 시간을 이용하고, 꾸준히 그림과 관련된 책들을 읽다보니 작품을 보는 시각이 달라지게 된다. 다른 예술분야도 마찬가지겠지만 그림은 알고 보면 더 재밌고 흥미롭다. 그래서 전시회에 가면 먼저 작품들을 꼼꼼하게 살펴보면서 작품 속에 담긴 의미를 읽게 된다. 이번에 읽은 는 그림을 디자...+ 더보기",5
알고 보면 더 재밌는 디자인 원리로 그림 읽기,"우리는 좋은 디자인과 그렇지 않은 디자인을 판단할 수 있는 눈을 갖추고 있다고 한다.다만 그 개념을 정확하게 알고 있지 않아서 표현을 잘 못 할 뿐이라고 하는데.. '디자인의 원리'로 그림을 읽는다니.. 궁금증을 가지고 읽어보았다.. :) 책을 들어가기에 앞서 저자는 말한다.이 책을 통해 얻을 수 있는 3가지- 그림을 보고 명확한 표현을 할 수 있고, 그림의 좋은 점이나 나쁜 점, 개선방안까지도 의견을 낼 수 있고, 그림뿐만 아니라 모든&nb...+ 더보기",5
