Unnamed: 0,book_title,review_content,rating,label,clean_review,tokens,tokens_str
0,역사의 역사,당신같이 극편향된 사고를 가진 인간이 역사를 논하다니..돈주고 보라해도 볼게 못되겠네요,1,0,당신같이 극편향된 사고를 가진 인간이 역사를 논하다니 돈주고 보라해도 볼게 못되겠네요,"['당신', '같이', '극', '편향', '된', '사고', '를', '가진', '인간', '이', '역사', '를', '논', '하다니', '돈', '주고', '보라', '해도', '볼', '게', '못', '되겠네요']",당신 같이 극 편향 된 사고 를 가진 인간 이 역사 를 논 하다니 돈 주고 보라 해도 볼 게 못 되겠네요
1,뛰어난 사진을 만드는 비결,사진을 시작해 보겠다고 제일 먼저 한일은 물론 카메라 구입.. ㅎㅎ 그 다음엔 사진 관련 동호회 가입.. 열심히 동호회 강좌도 들여다 보고 가끔 포스팅도 하다가 관련 서적 구입... 예초부터 이상하게 책에 대한 욕심이 있는 터라 알라딘이나 Yes24를 들락거리며 할인폭이 크다하면 한 두권씩 샀는데 이 책은 NATIONAL GEOGRAPHIC PHOTOGRAPHY FIELD GUIDE SERIES 6권짜리중 제일 두툼한 놈.... 워낙 나이 지긋하신 사진 작가들의 글인지라 DSLR보다는 필름용 카메라에 대한 내용이 많지만 기본 원...+ 더보기,2,0,사진을 시작해 보겠다고 제일 먼저 한일은 물론 카메라 구입    그 다음엔 사진 관련 동호회 가입  열심히 동호회 강좌도 들여다 보고 가끔 포스팅도 하다가 관련 서적 구입  예초부터 이상하게 책에 대한 욕심이 있는 터라 알라딘이나  를 들락거리며 할인폭이 크다하면 한 두권씩 샀는데 이 책은              권짜리중 제일 두툼한 놈  워낙 나이 지긋하신 사진 작가들의 글인지라  보다는 필름용 카메라에 대한 내용이 많지만 기본 원  더보기,"['사진', '을', '시작', '해', '보겠다고', '제일', '먼저', '한일', '은', '물론', '카메라', '구입', '그', '다음', '엔', '사진', '관련', '동호회', '가입', '열심히', '동호회', '강좌', '도', '들여다', '보고', '가끔', '포스팅', '도', '하다가', '관련', '서적', '구입', '예', '초', '부터', '이상하게', '책', '에', '대한', '욕심', '이', '있는', '터', '라', '알라딘', '이나', '를', '들락거리', '며', '할인', '폭', '이', '크다하면', '한', '두', '권', '씩', '샀는데', '이', '책', '은', '권', '짜리', '중', '제일', '두툼', '한', '놈', '워낙', '나이', '지', '긋하신', '사진', '작가', '들', '의', '글', '인지', '라', '보다는', '필름', '용', '카메라', '에', '대한', '내용', '이', '많지만', '기본', '원', '더', '보기']",사진 을 시작 해 보겠다고 제일 먼저 한일 은 물론 카메라 구입 그 다음 엔 사진 관련 동호회 가입 열심히 동호회 강좌 도 들여다 보고 가끔 포스팅 도 하다가 관련 서적 구입 예 초 부터 이상하게 책 에 대한 욕심 이 있는 터 라 알라딘 이나 를 들락거리 며 할인 폭 이 크다하면 한 두 권 씩 샀는데 이 책 은 권 짜리 중 제일 두툼 한 놈 워낙 나이 지 긋하신 사진 작가 들 의 글 인지 라 보다는 필름 용 카메라 에 대한 내용 이 많지만 기본 원 더 보기
2,영업의 신,그닥 묵직한 내용은 아닌 듯합니다,1,0,그닥 묵직한 내용은 아닌 듯합니다,"['그닥', '묵직한', '내용', '은', '아닌', '듯', '합니다']",그닥 묵직한 내용 은 아닌 듯 합니다
3,김병완의 책 쓰기 혁명,구체적인 내용이 없고문장도 좋지않다.,1,0,구체적인 내용이 없고문장도 좋지않다 ,"['구체', '적', '인', '내용', '이', '없고', '문장', '도', '좋지', '않다']",구체 적 인 내용 이 없고 문장 도 좋지 않다
4,타로카드 매트릭스,이 책 진짜 별로예요. 타로 기본 공부가 시급해 보여요. 별 하니도 아까움,1,0,이 책 진짜 별로예요  타로 기본 공부가 시급해 보여요  별 하니도 아까움,"['이', '책', '진짜', '별로', '예요', '타로', '기본', '공부', '가', '시급해', '보여요', '별', '하니', '도', '아까', '움']",이 책 진짜 별로 예요 타로 기본 공부 가 시급해 보여요 별 하니 도 아까 움
5,미란다 커의 시크릿 다이어리 + 디자인 노트,"2/3 정도는 뻔한 자기계발 애기, 자기 잘나온 사진 몇 페이지, 1/3은 자기가 좋아하는 책의 문구를 한 페이지에 하나씩 넣어 책을 만들었다. 정말 이런 책은 살다살다 처음 봄. 미란다 커, 송중기 때문에 알게 됐는데. 그래. 베이글녀 맞는데. 허리는 길더라.",1,0,정도는 뻔한 자기계발 애기  자기 잘나온 사진 몇 페이지   은 자기가 좋아하는 책의 문구를 한 페이지에 하나씩 넣어 책을 만들었다  정말 이런 책은 살다살다 처음 봄  미란다 커  송중기 때문에 알게 됐는데  그래  베이글녀 맞는데  허리는 길더라 ,"['정도', '는', '뻔한', '자기계발', '애기', '자기', '잘나온', '사진', '몇', '페이지', '은', '자기', '가', '좋아하는', '책', '의', '문구', '를', '한', '페이지', '에', '하나', '씩', '넣어', '책', '을', '만들었다', '정말', '이런', '책', '은', '살다', '살다', '처음', '봄', '미란다', '커', '송중기', '때문', '에', '알', '게', '됐는데', '그래', '베이글', '녀', '맞는데', '허리', '는', '길더라']",정도 는 뻔한 자기계발 애기 자기 잘나온 사진 몇 페이지 은 자기 가 좋아하는 책 의 문구 를 한 페이지 에 하나 씩 넣어 책 을 만들었다 정말 이런 책 은 살다 살다 처음 봄 미란다 커 송중기 때문 에 알 게 됐는데 그래 베이글 녀 맞는데 허리 는 길더라
6,바퀴벌레,주인공이 해리 홀레일 이유가 전혀 없는 평작,2,0,주인공이 해리 홀레일 이유가 전혀 없는 평작,"['주인공', '이', '해리', '홀', '레일', '이유', '가', '전혀', '없는', '평작']",주인공 이 해리 홀 레일 이유 가 전혀 없는 평작
7,최강의 자기분석,"이 책의 제목에서 상당히 관심이 많이 갔던 책이라 할 수 있겠다. 최근 직장생활이 8년차에 접어들면서 매너리즘과 함께, 두려움이 일어나기 시작했다. 새로운 일에 대한 두려움이 아니라, 내가 현재 하고 있는 일이 나한테 맞는 일일까? 그리고 왜 매너리즘에 빠지게 된 것일까?라는 생각들로 머리가 가득해졌다. 그 쯤에 맞춰서 눈에 띄었던 책이 이 책이라 할 수 있겠다. 제목에서 보여지는 것 처럼 ""최강의 자기분석""이라는 타이틀을 달고 있다. 그리고 부제로 ""당신의 천직을 찾아주는""이라는 문구도 같이 있다. 누구나 자기 일에 있...+ 더보기",2,0,이 책의 제목에서 상당히 관심이 많이 갔던 책이라 할 수 있겠다  최근 직장생활이  년차에 접어들면서 매너리즘과 함께  두려움이 일어나기 시작했다  새로운 일에 대한 두려움이 아니라  내가 현재 하고 있는 일이 나한테 맞는 일일까  그리고 왜 매너리즘에 빠지게 된 것일까 라는 생각들로 머리가 가득해졌다  그 쯤에 맞춰서 눈에 띄었던 책이 이 책이라 할 수 있겠다  제목에서 보여지는 것 처럼  최강의 자기분석 이라는 타이틀을 달고 있다  그리고 부제로  당신의 천직을 찾아주는 이라는 문구도 같이 있다  누구나 자기 일에 있  더보기,"['이', '책', '의', '제목', '에서', '상당히', '관심', '이', '많이', '갔던', '책', '이라', '할', '수', '있겠다', '최근', '직장', '생활', '이', '년차', '에', '접어', '들면서', '매너리즘', '과', '함께', '두려움', '이', '일어나기', '시작', '했다', '새로운', '일', '에', '대한', '두려움', '이', '아니라', '내', '가', '현재', '하고', '있는', '일이', '나', '한테', '맞는', '일일', '까', '그리고', '왜', '매너리즘', '에', '빠지게', '된', '것', '일까', '라는', '생각', '들', '로', '머리', '가', '가득해졌다', '그', '쯤', '에', '맞춰서', '눈', '에', '띄었던', '책', '이', '이', '책', '이라', '할', '수', '있겠다', '제목', '에서', '보여지는', '것', '처럼', '최강', '의', '자기', '분석', '이라는', '타이틀', '을', '달', '고', '있다', '그리고', '부제', '로', '당신', '의', '천직', '을', '찾아주는', '이라는', '문구', '도', '같이', '있다', '누구', '나', '자기', '일', '에', '있', '더', '보기']",이 책 의 제목 에서 상당히 관심 이 많이 갔던 책 이라 할 수 있겠다 최근 직장 생활 이 년차 에 접어 들면서 매너리즘 과 함께 두려움 이 일어나기 시작 했다 새로운 일 에 대한 두려움 이 아니라 내 가 현재 하고 있는 일이 나 한테 맞는 일일 까 그리고 왜 매너리즘 에 빠지게 된 것 일까 라는 생각 들 로 머리 가 가득해졌다 그 쯤 에 맞춰서 눈 에 띄었던 책 이 이 책 이라 할 수 있겠다 제목 에서 보여지는 것 처럼 최강 의 자기 분석 이라는 타이틀 을 달 고 있다 그리고 부제 로 당신 의 천직 을 찾아주는 이라는 문구 도 같이 있다 누구 나 자기 일 에 있 더 보기
8,별의 길,"수록된 작품 몇개만 읽어봤는데, 말을 아끼렵니다.4쇄 찍었다는 거 들었고, 수익금 기부한다는 말도 들었습니다.그런데,이땅에서 작가가 되고싶어 청소년 시절부터 원고지 수만 장을 써 온 청춘이 많습니다.자신만의 책 한 권을 만들고 싶어서 온 인생을 다 바치죠.양작가님은 이런 거 써서 판매하고 싶나요?이 작품들이 시가 맞긴 맞나요? [시]라는 장르가 무엇인지 알긴 아나요?은유와 직유를 구분할 줄은 아시나요?마지막으로 덧붙이자면 출판사는 최소한의 양심을 가지고서 책을 찍어냅시다.",1,0,수록된 작품 몇개만 읽어봤는데  말을 아끼렵니다 쇄 찍었다는 거 들었고  수익금 기부한다는 말도 들었습니다 그런데 이땅에서 작가가 되고싶어 청소년 시절부터 원고지 수만 장을 써 온 청춘이 많습니다 자신만의 책 한 권을 만들고 싶어서 온 인생을 다 바치죠 양작가님은 이런 거 써서 판매하고 싶나요 이 작품들이 시가 맞긴 맞나요   시 라는 장르가 무엇인지 알긴 아나요 은유와 직유를 구분할 줄은 아시나요 마지막으로 덧붙이자면 출판사는 최소한의 양심을 가지고서 책을 찍어냅시다 ,"['수록', '된', '작품', '몇개', '만', '읽어', '봤는데', '말', '을', '아끼렵니', '다', '쇄', '찍었다는', '거', '들었고', '수익금', '기부', '한다는', '말', '도', '들었습니다', '그런데', '이', '땅', '에서', '작가', '가', '되고싶어', '청소년', '시절', '부터', '원고지', '수만', '장', '을', '써', '온', '청춘', '이', '많습니다', '자신', '만의', '책', '한', '권', '을', '만들고', '싶어서', '온', '인생', '을', '다', '바치', '죠', '양', '작가', '님', '은', '이런', '거', '써서', '판매', '하고', '싶나요', '이', '작품', '들', '이', '시가', '맞긴', '맞나요', '시', '라는', '장르', '가', '무엇', '인지', '알긴', '아', '나', '요', '은유', '와', '직유', '를', '구', '분할', '줄', '은', '아시나요', '마지막', '으로', '덧붙이자면', '출판사', '는', '최소한', '의', '양심', '을', '가지고서', '책', '을', '찍어냅시다']",수록 된 작품 몇개 만 읽어 봤는데 말 을 아끼렵니 다 쇄 찍었다는 거 들었고 수익금 기부 한다는 말 도 들었습니다 그런데 이 땅 에서 작가 가 되고싶어 청소년 시절 부터 원고지 수만 장 을 써 온 청춘 이 많습니다 자신 만의 책 한 권 을 만들고 싶어서 온 인생 을 다 바치 죠 양 작가 님 은 이런 거 써서 판매 하고 싶나요 이 작품 들 이 시가 맞긴 맞나요 시 라는 장르 가 무엇 인지 알긴 아 나 요 은유 와 직유 를 구 분할 줄 은 아시나요 마지막 으로 덧붙이자면 출판사 는 최소한 의 양심 을 가지고서 책 을 찍어냅시다
9,13번째 증언,별 한 개도 아깝습니다. 윤지오씨는 자기가 미디어에서 한 말과 책의 내용이 안맞는거 알고나 있나요? 거짓말이라 기억을 못하시는건가?,1,0,별 한 개도 아깝습니다  윤지오씨는 자기가 미디어에서 한 말과 책의 내용이 안맞는거 알고나 있나요  거짓말이라 기억을 못하시는건가 ,"['별', '한', '개도', '아깝습니다', '윤지오', '씨', '는', '자기', '가', '미디어', '에서', '한', '말', '과', '책', '의', '내용', '이', '안', '맞는거', '알고나', '있나요', '거짓말', '이라', '기억', '을', '못', '하시는', '건가']",별 한 개도 아깝습니다 윤지오 씨 는 자기 가 미디어 에서 한 말 과 책 의 내용 이 안 맞는거 알고나 있나요 거짓말 이라 기억 을 못 하시는 건가
